Előadás;Presentation;0;
Oktatás;Education;0;
Szeminárium;Seminar;2;
Kísérlet;Experiment;2;
Oktatás;Training;2;
Orarendi előadás;Lecture;2;
Művészet;Arts & Humanities;0;
Művészeti előadás;Artistic performance;7;
Zenei előadás;Musical performance;7;
Egyéb művészet;Other arts;7;
Egyéb;Other;0;
Sajtótájékoztató;Press conference;11;
Bemutató, ismertető;Promotional presentation;11;
Vita, beszélgetés;Debate, discussion;11;
Megnyitó;Opening;11;
Laudatio;Laudation;11;
Díjátadás;Award ceremony;11;
Értekezlet;Meeting;11;
Film;Film;0;
Dokumentumfilm;Documentary;19;
Animáció;Animation;19;
Híradó;News;19;
Ismeretterjesztő film;Informational film;19;
Tudományos film;Scientific film;19;
Oktatófilm;Educational film;19;
Portréfilm;Portray film;19;
Interjúfilm;Interview;19;
Riportfilm;Report;19;
