hun;Magyar;Magyar;Hungarian;100;
eng;English;Angol;English;200;
ger;Deutsch;Német;German;300;
spa;Español;Spanyol (kasztíliai);Spanish (Castilian);400;
fre;Français;Francia;French;500;
por;Português;Portugál;Portuguese;600;
ita;Italiano;Olasz;Italian;700;
alb;Shqip;Albán;Albanian;800;
ara;العربية;Arab;Arabic;800;
bel;Беларуская;Belarusz;Belarusian;800;
bul;български език;Bolgár;Bulgarian;800;
bos;bosanski jezik;Bosnyák;Bosnian;800;
rom;rromani ćhib;Cigány;Romany;800;
cze;čeština;Cseh;Czech;800;
dan;Dansk;Dán;Danish;800;
est;Eesti keel;Észt;Estonian;800;
fin;Suomen kieli;Finn;Finnish;800;
gre;Ελληνικά;görög;Greek;800;
heb;עברית;Héber;Hebrew;800;
dut;Nederlands;Holland;Dutch;800;
hrv;Hrvatski;Horvát;Croatian;800;
jpn;日本語;Japán;Japanese;800;
yid;ייִדיש;Jiddis;Yiddish;800;
cat;Català;Katalán;Catalan;800;
chi;中文;Kínai;Chinese;800;
kor;한국어;Koreai;Korean;800;
lat;Latine;Latin;Latin;800;
pol;Polski;Lengyel;Polish;800;
lav;Latviešu valoda;Lett;Latvian;800;
lit;Lietuvių kalba;Litván;Lithuanian;800;
mkd;македонски јазик;Makedón;Macedonian;800;
nor;Norsk;Norvég;Norwegian;800;
rus;русский язык;Orosz;Russian;800;
per;فارسی;Perzsa;Persian;800;
rum;Română;Román;Romanian;800;
swe;Svenska;Svéd;Swedish;800;
srp;Cрпски језик;Szerb;Serbian;800;
slo;Slovenčina;Szlovák;Slovak;800;
slv;Slovenščina;Szlovén;Slovenian;800;
tur;Türkçe;Török;Turkish;800;
ukr;українська мова;Ukrán;Ukrainian;800;
